,region,type of household,contents,year,value
384,Gjerdrum (-2019),Other housesholds,Households,2019,0
385,Ullensaker (-2019),Living alone,Households,2019,5705
386,Ullensaker (-2019),Couple without resident children,Households,2019,3620
387,Ullensaker (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1814
388,Ullensaker (-2019),Couple with older children (youngest child 6-17 years),Households,2019,2187
389,Ullensaker (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,232
390,Ullensaker (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,804
391,Ullensaker (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1196
392,Ullensaker (-2019),Two or more-family households without resident children 0-17 years,Households,2019,633
393,Ullensaker (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,109
394,Ullensaker (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,117
395,Ullensaker (-2019),Other housesholds,Households,2019,0
396,Nes (Akershus) (-2019),Living alone,Households,2019,3036
397,Nes (Akershus) (-2019),Couple without resident children,Households,2019,2485
398,Nes (Akershus) (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1035
399,Nes (Akershus) (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1136
400,Nes (Akershus) (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,100
401,Nes (Akershus) (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,335
402,Nes (Akershus) (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,827
403,Nes (Akershus) (-2019),Two or more-family households without resident children 0-17 years,Households,2019,315
404,Nes (Akershus) (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,65
405,Nes (Akershus) (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,73
406,Nes (Akershus) (-2019),Other housesholds,Households,2019,0
407,Eidsvoll (-2019),Living alone,Households,2019,3676
408,Eidsvoll (-2019),Couple without resident children,Households,2019,2692
409,Eidsvoll (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1153
410,Eidsvoll (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1252
411,Eidsvoll (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,137
412,Eidsvoll (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,473
413,Eidsvoll (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,891
414,Eidsvoll (-2019),Two or more-family households without resident children 0-17 years,Households,2019,360
415,Eidsvoll (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,92
416,Eidsvoll (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,95
417,Eidsvoll (-2019),Other housesholds,Households,2019,0
418,Nannestad (-2019),Living alone,Households,2019,1773
419,Nannestad (-2019),Couple without resident children,Households,2019,1350
420,Nannestad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,663
421,Nannestad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,781
422,Nannestad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,65
423,Nannestad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,251
424,Nannestad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,449
425,Nannestad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,250
426,Nannestad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,46
427,Nannestad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,53
428,Nannestad (-2019),Other housesholds,Households,2019,0
429,Hurdal (-2019),Living alone,Households,2019,508
430,Hurdal (-2019),Couple without resident children,Households,2019,348
431,Hurdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,119
432,Hurdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,125
433,Hurdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,19
434,Hurdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,41
435,Hurdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,105
436,Hurdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,43
437,Hurdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
438,Hurdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
439,Hurdal (-2019),Other housesholds,Households,2019,0
440,Oslo municipality,Living alone,Households,2019,163772
441,Oslo municipality,Couple without resident children,Households,2019,69709
442,Oslo municipality,Couple with small children (youngest child 0-5 years),Households,2019,32316
443,Oslo municipality,Couple with older children (youngest child 6-17 years),Households,2019,26631
444,Oslo municipality,Lone parent with small children (youngest child 0-5 years),Households,2019,4054
445,Oslo municipality,Lone parent with older children (youngest child 6-17 years),Households,2019,9753
446,Oslo municipality,One family households with adult children (youngest child 18 years and over,Households,2019,16648
447,Oslo municipality,Two or more-family households without resident children 0-17 years,Households,2019,18585
448,Oslo municipality,Two or more-family households with small children (youngest child 0-5 years),Households,2019,2260
449,Oslo municipality,Two or more-family households with older children (youngest child 6-17 years),Households,2019,1942
450,Oslo municipality,Other housesholds,Households,2019,0
451,Kongsvinger (-2019),Living alone,Households,2019,3675
452,Kongsvinger (-2019),Couple without resident children,Households,2019,2311
453,Kongsvinger (-2019),Couple with small children (youngest child 0-5 years),Households,2019,570
454,Kongsvinger (-2019),Couple with older children (youngest child 6-17 years),Households,2019,790
455,Kongsvinger (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,100
456,Kongsvinger (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,355
457,Kongsvinger (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,648
458,Kongsvinger (-2019),Two or more-family households without resident children 0-17 years,Households,2019,217
459,Kongsvinger (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,28
460,Kongsvinger (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,47
461,Kongsvinger (-2019),Other housesholds,Households,2019,0
462,Hamar (1992-2019),Living alone,Households,2019,6514
463,Hamar (1992-2019),Couple without resident children,Households,2019,3926
464,Hamar (1992-2019),Couple with small children (youngest child 0-5 years),Households,2019,1150
465,Hamar (1992-2019),Couple with older children (youngest child 6-17 years),Households,2019,1435
466,Hamar (1992-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,112
467,Hamar (1992-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,558
468,Hamar (1992-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1040
469,Hamar (1992-2019),Two or more-family households without resident children 0-17 years,Households,2019,430
470,Hamar (1992-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,56
471,Hamar (1992-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,74
472,Hamar (1992-2019),Other housesholds,Households,2019,0
473,Ringsaker (-2019),Living alone,Households,2019,5418
474,Ringsaker (-2019),Couple without resident children,Households,2019,4327
475,Ringsaker (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1291
476,Ringsaker (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1756
477,Ringsaker (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,174
478,Ringsaker (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,574
